4.72,7.71,5.25,5.96,Tipo-Y
4.71,4.18,9.25,7.3,Tipo-X
4.21,6.23,7.14,3.13,Tipo-Y
3.4,8.08,7.34,5.31,Tipo-Z
2.13,7.5,3.24,4.24,Tipo-Z
1.73,2.58,3.42,7.25,Tipo-Y
4.91,3.97,7.06,9.44,Tipo-Y
5.38,2.35,4.27,4.1,Tipo-Z
7.14,1.36,5.51,9.07,Tipo-X
6.77,7.34,8.77,2.68,Tipo-X
4.6,6.08,5.65,5.44,Tipo-X
4.63,2.42,6.62,9.23,Tipo-Z
8.16,9.44,6.32,8.6,Tipo-Y
8.96,9.1,8.14,2.95,Tipo-Y
5.43,9.76,4.62,9.15,Tipo-X
8.43,5.06,1.96,5.68,Tipo-X
7.53,9.17,4.08,7.17,Tipo-X
3.36,8.45,8.04,4.58,Tipo-X
5.01,7.43,2.57,3.7,Tipo-Z
9.68,8.91,8.89,6.62,Tipo-Z
6.09,2.64,5.99,1.9,Tipo-X
2.05,7.01,2.2,4.25,Tipo-Z
9.12,4.39,8.71,7.3,Tipo-Z
7.15,3.68,1.82,4.12,Tipo-X
1.33,6.59,3.54,6.78,Tipo-Y
1.6,5.22,2.39,7.6,Tipo-Y
5.64,3.13,9.89,8.8,Tipo-X
9.13,2.73,3.74,5.61,Tipo-Z
7.99,2.19,7.59,7.59,Tipo-Z
7.76,7.67,4.7,9.0,Tipo-X
6.0,6.05,7.29,5.25,Tipo-Z
4.81,3.4,1.26,1.32,Tipo-Y
6.02,8.72,5.52,4.7,Tipo-Y
8.01,8.49,5.97,7.85,Tipo-Z
6.28,3.16,4.86,1.68,Tipo-Z
4.18,5.94,6.89,1.3,Tipo-X
1.15,5.91,2.14,1.66,Tipo-Y
7.77,3.82,6.19,9.3,Tipo-Z
9.32,7.38,8.91,1.82,Tipo-Y
5.2,2.83,1.64,2.87,Tipo-Y
8.89,1.4,2.04,2.5,Tipo-Z
3.87,9.22,5.49,5.25,Tipo-Z
6.79,3.6,5.8,2.39,Tipo-X
6.53,1.01,3.47,6.69,Tipo-Y
5.43,5.18,4.06,5.58,Tipo-Y
8.44,3.04,1.34,1.09,Tipo-Y
3.44,4.15,3.96,5.24,Tipo-X
4.73,3.72,4.11,4.59,Tipo-Y
5.26,5.18,6.18,4.75,Tipo-X
9.14,7.83,3.03,5.36,Tipo-Z
9.59,4.66,6.17,9.07,Tipo-Z
9.04,3.54,2.6,9.57,Tipo-X
8.31,1.49,8.77,2.93,Tipo-Y
6.98,4.97,4.89,6.3,Tipo-X
6.58,7.23,4.02,9.34,Tipo-X
4.95,2.95,2.9,3.67,Tipo-Z
4.88,8.78,4.2,2.76,Tipo-Z
5.68,3.96,3.89,1.61,Tipo-Y
7.62,1.81,4.87,6.21,Tipo-Z
9.31,4.84,8.43,3.57,Tipo-X
9.83,3.57,9.07,6.88,Tipo-Z
1.4,6.9,6.65,6.32,Tipo-Y
8.63,10.0,5.23,8.76,Tipo-Y
5.08,2.36,1.19,5.85,Tipo-X
5.06,4.58,9.87,6.88,Tipo-X
1.01,4.88,1.16,4.57,Tipo-Z
2.63,4.18,3.87,5.78,Tipo-Y
9.02,7.09,9.89,3.85,Tipo-Z
5.96,8.94,4.37,2.63,Tipo-Y
9.41,4.71,5.38,7.61,Tipo-Y
9.87,9.37,7.67,3.45,Tipo-Y
3.97,4.76,4.45,3.76,Tipo-Y
1.65,4.65,7.14,7.65,Tipo-X
8.63,5.21,9.28,1.57,Tipo-Z
3.82,3.41,7.49,8.12,Tipo-Y
3.07,9.17,8.72,6.32,Tipo-X
7.87,9.8,9.27,6.86,Tipo-Z
9.19,5.28,3.91,8.03,Tipo-X
9.02,3.2,5.01,1.96,Tipo-X
4.14,2.18,1.33,9.51,Tipo-Y
4.32,6.26,6.92,9.79,Tipo-Z
9.86,1.78,7.15,8.15,Tipo-X
6.58,4.53,2.96,4.69,Tipo-Z
3.97,3.05,7.61,1.73,Tipo-Z
2.38,7.42,4.22,5.67,Tipo-X
6.68,4.25,5.24,7.1,Tipo-Y
6.42,3.09,4.43,8.74,Tipo-X
7.5,8.33,3.76,9.33,Tipo-Y
5.11,3.45,9.53,6.49,Tipo-X
4.32,8.97,1.57,6.63,Tipo-Y
7.11,2.82,6.49,1.1,Tipo-Y
2.93,7.02,1.21,4.96,Tipo-X
3.93,4.28,1.4,7.84,Tipo-Y
2.96,5.92,7.38,7.05,Tipo-Z
7.34,1.21,3.33,9.27,Tipo-Y
3.74,5.88,7.03,2.03,Tipo-X
2.89,3.08,8.22,2.53,Tipo-Z
2.13,5.4,6.72,5.43,Tipo-X
7.32,7.29,7.83,6.85,Tipo-X
8.34,2.87,5.34,6.43,Tipo-Z
